2800:100,63,18,71,23,71,211,226,920,101,1023,1023,847,1003
2800:25,5,1,6,2,6,19,22,78,20,127,117,83,77
2800:50,23,6,26,10,26,77,88,314,81,508,470,336,311
2800:75,47,13,53,20,53,155,175,622,160,1014,940,673,626
3500:100,138,38,127,45,114,297,311,994,166,968,835,879,594
3500:25,13,3,11,4,10,27,29,93,15,90,78,82,55
3500:50,52,14,47,16,42,111,116,372,62,363,313,329,222
3500:75,103,28,95,33,85,223,233,745,124,726,626,659,445
4300:100,104,83,144,31,188,392,481,1023,242,769,471,865,366
4300:25,9,7,13,3,17,37,34,109,19,68,43,78,40
4300:50,38,30,54,14,69,150,139,441,78,276,175,314,159
4300:75,78,62,108,27,139,302,278,894,159,555,350,627,314
5000:100,164,121,197,42,236,458,574,1023,229,666,414,862,232
5000:25,15,11,18,4,21,44,38,115,16,57,38,77,30
5000:50,61,45,74,18,86,178,155,466,67,232,153,308,118
5000:75,123,90,148,37,174,356,310,950,139,469,307,617,230
5500:100,212,145,236,48,266,500,627,1023,224,616,386,858,165
5500:25,20,13,22,5,24,48,41,118,15,52,35,76,25
5500:50,79,54,89,21,97,195,166,479,62,211,141,305,98
5500:75,160,108,177,43,196,389,331,978,130,427,285,610,189
6500:100,309,184,308,63,316,569,710,1023,219,561,332,849,74
6500:25,29,17,29,6,29,55,46,122,13,45,31,74,18
6500:50,115,69,116,26,117,223,184,498,56,183,126,298,72
6500:75,232,139,232,52,235,444,367,1019,119,373,254,596,134
7500:100,396,217,371,71,359,625,773,1023,218,525,305,839,18
7500:25,37,20,35,7,33,60,49,125,12,41,28,73,14
7500:50,148,82,140,29,133,244,199,510,53,167,116,292,55
7500:75,297,164,279,59,266,486,412,1023,115,341,234,587,96
